Item,Profit,Poids
1372,111,109
6706,195,194
7924,891,889
3075,60,58
3468,411,409
1219,534,532
2477,159,158
7254,768,767
2996,858,858
8540,219,217
652,249,248
199,267,266
6657,600,599
3992,84,83
1419,399,399
2593,111,110
6475,759,757
2391,855,853
65,468,466
5371,771,770
8853,858,856
4696,291,291
3270,498,498
5967,102,100
7436,558,556
9691,27,25
6058,285,284
8114,129,127
6792,471,470
6423,570,569
5104,165,163
9930,339,338
3051,192,191
5771,918,916
9380,735,734
4646,756,756
2043,267,265
3592,51,50
9152,282,282
3955,168,167
6927,849,847
17,336,334
7713,84,82
6669,315,314
7291,453,451
3168,588,586
2161,387,386
9610,21,21
8823,468,467
6610,654,653
7531,756,754
2889,663,663
2332,36,35
7184,135,133
4993,294,294
8766,312,311
1173,99,97
7485,579,578
3140,573,571
4179,240,240
3547,531,531
3899,411,410
4641,996,995
9315,627,626
5294,873,872
6039,381,380
8729,387,385
5311,195,193
7042,651,651
6805,495,494
671,282,281
6047,153,153
2316,312,311
1384,267,266
664,372,371
9860,24,22
8018,336,334
6707,120,118
3013,396,395
3000,36,34
475,450,448
8128,30,28
6308,720,720
5853,90,88
4592,660,660
6076,483,481
8680,948,946
4620,198,198
9746,900,900
7409,507,507
556,105,103
8752,594,593
1673,912,911
6849,372,371
1293,786,786
1647,429,427
1310,222,222
8713,303,301
428,84,82
4114,435,434
5972,744,742
6021,735,734
938,714,712
1743,735,734
6694,150,148
6834,300,299
419,699,697
4730,315,313
80,492,491
9731,42,42
8224,483,482
118,531,529
2564,762,760
8014,165,164
7078,495,495
486,297,296
324,405,404
384,15,14
634,3,1
693,15,13
1185,3,1
1342,3,1
