Item,Profit,Poids
7578,735,734
3314,933,932
3327,414,413
8012,753,751
9101,30,29
5984,69,68
5702,129,129
9704,207,206
4589,135,133
7423,567,565
7825,807,807
3649,693,693
2030,945,943
3562,12,10
9624,171,169
4149,816,815
4449,924,923
3856,669,667
6304,768,766
2368,156,156
3057,285,285
1986,279,278
8073,126,125
4834,570,569
5309,798,797
4480,306,305
4935,675,674
8354,123,121
482,474,472
1917,729,727
8070,327,326
1762,249,248
5489,729,728
7431,732,731
1363,321,321
1583,795,793
6978,147,146
5627,654,652
2891,273,271
1693,900,900
9021,507,507
4514,57,56
6939,816,814
503,750,750
7462,519,517
3691,963,961
6705,255,253
9450,420,419
8525,783,783
6089,465,464
8978,423,421
8102,600,599
7924,891,889
4790,657,656
7700,495,493
6653,45,43
3636,864,862
3775,723,721
6560,15,14
9423,600,598
8660,636,634
7772,48,48
9218,729,729
5371,771,770
7379,399,399
981,477,475
551,198,197
6096,375,374
304,99,97
900,765,765
4557,333,331
284,96,95
8946,930,928
8571,834,833
6112,507,506
3035,441,441
7152,717,716
1262,294,293
3337,780,778
8057,225,223
833,699,697
3564,957,955
8549,768,766
1596,339,338
1844,804,802
8113,369,367
7406,474,472
5224,93,92
4062,264,263
7813,489,488
7651,84,82
1286,255,253
4368,645,643
1056,798,798
5943,195,195
2789,297,296
6578,501,499
6657,600,599
3347,513,513
150,339,338
136,3,3
15,9,7
634,3,1
