Item,Profit,Poids
4904,879,879
168,576,576
973,66,64
3916,303,302
4155,960,958
6340,678,677
6624,384,384
7183,399,398
4477,780,778
9197,99,98
4418,990,989
3925,195,194
3241,300,300
8799,168,167
2855,522,522
549,84,82
4034,957,956
6963,288,286
1160,981,979
8965,903,903
5416,885,885
8519,183,182
1151,303,301
3898,459,458
8850,825,823
3516,564,563
5034,273,272
861,546,545
87,420,418
2007,693,693
230,390,388
4854,285,285
6458,786,785
7368,534,534
3109,99,97
3787,63,61
7002,714,714
8021,384,382
7179,378,378
5333,54,53
8912,171,170
1607,885,883
592,753,752
3142,972,972
2361,357,356
8393,324,323
6680,189,187
1783,936,935
9626,243,242
5066,129,127
6794,834,833
6699,819,818
6373,990,990
3757,351,351
7464,63,61
7952,528,526
2741,681,679
9006,771,771
6280,915,914
5269,366,365
3943,267,265
6313,702,702
5511,501,501
3580,75,75
8318,597,596
9972,396,396
4478,345,345
3566,909,908
4979,270,269
5456,753,753
1038,258,258
7781,192,190
9377,462,460
96,195,194
3178,267,267
8770,843,841
1958,498,498
2646,51,50
2969,666,665
3149,582,582
8472,810,809
1387,339,337
6684,873,872
7088,414,412
8346,576,575
8726,51,50
8000,954,954
6185,801,800
6286,996,995
6999,621,619
1669,582,582
330,36,35
7941,195,193
4907,762,762
4616,60,58
465,132,130
5646,684,683
1209,936,934
1079,45,43
693,15,13
676,18,16
384,15,14
154,33,31
634,3,1
