Item,Profit,Poids
34,540,539
1936,450,448
906,726,725
2084,273,271
1484,972,971
5007,27,25
5109,933,932
3533,261,259
2009,489,489
1466,315,313
1996,831,829
9230,879,878
4868,735,735
7472,837,835
5167,723,723
5172,525,524
7996,900,900
7011,48,48
6680,189,187
7314,651,649
2542,531,531
1133,498,498
9614,30,28
7653,327,327
3182,552,550
2937,126,124
57,66,66
9393,630,630
1160,981,979
6116,786,785
6765,603,603
8142,165,163
7147,63,61
709,882,880
4123,639,638
5145,522,520
30,198,196
8666,276,275
4419,285,283
4294,360,358
5605,228,226
179,126,126
8270,669,669
5304,795,793
3469,141,141
9354,450,449
6869,813,811
5514,735,733
4381,228,226
3302,933,931
5163,696,694
1373,558,558
7482,561,559
2450,723,722
4082,18,16
5958,642,640
6526,792,790
290,756,754
2393,999,999
2282,927,927
227,660,660
7889,474,473
8948,189,187
7556,627,627
537,606,606
6828,522,520
1013,27,25
1061,468,468
1614,153,152
6015,660,659
7969,816,816
5340,612,610
7144,558,556
1147,534,534
9269,681,679
5786,876,874
3301,621,621
7467,462,460
4785,288,286
9387,597,597
4048,405,404
2375,90,88
2454,861,859
2612,405,405
9032,111,109
6433,186,185
532,186,184
1172,57,56
8294,174,173
7180,741,741
221,834,833
983,786,786
2422,72,72
5083,354,352
4202,801,799
142,906,904
230,390,388
1185,3,1
634,3,1
15,9,7
1342,3,1
