Item,Profit,Poids
647,97,97
8148,582,582
3842,312,396
8564,312,396
1325,582,582
375,52,66
8051,873,873
4549,582,582
2473,873,873
1857,388,388
2854,388,388
2578,388,388
4128,97,97
7306,156,198
2026,970,970
2836,208,264
7874,468,594
4199,873,873
8921,582,582
8399,194,194
9994,260,330
5235,416,528
5341,260,330
4218,97,97
3634,291,291
1318,468,594
5825,260,330
4033,468,594
6018,291,291
9409,468,594
1969,364,462
1065,97,97
8222,364,462
4619,52,66
8106,291,291
7229,873,873
8713,776,776
3227,52,66
9698,873,873
9382,970,970
6341,52,66
4088,873,873
4475,260,330
2660,388,388
2556,679,679
9985,485,485
5209,520,660
4959,104,132
4043,679,679
8650,260,330
5395,679,679
3961,485,485
1641,156,198
187,291,291
4544,776,776
1553,104,132
3718,52,66
2535,468,594
8232,364,462
686,312,396
6623,260,330
9770,970,970
1406,194,194
7773,520,660
9078,194,194
5058,582,582
8513,679,679
6804,194,194
8974,485,485
574,291,291
4485,873,873
8198,416,528
3876,104,132
2273,776,776
8579,485,485
1810,260,330
390,970,970
6219,776,776
7907,776,776
6370,582,582
391,776,776
2565,582,582
980,156,198
3766,970,970
1288,52,66
2045,970,970
7698,388,388
7207,194,194
6800,260,330
1379,104,132
6833,97,97
8997,97,97
8933,582,582
1324,679,679
3101,776,776
4,485,485
