Item,Profit,Poids
1739,42,42
8604,486,486
5959,621,620
5989,405,403
5171,489,488
8552,966,965
1861,18,16
6127,564,564
342,366,364
2541,165,165
483,219,217
975,858,857
9283,783,783
5072,111,109
8231,423,423
6781,282,281
8007,120,118
5897,231,229
5117,528,526
8003,423,422
4757,333,332
6622,609,607
3304,552,550
6746,564,564
7713,84,82
8688,417,416
9439,105,105
7809,777,775
836,627,625
6770,174,172
8803,48,48
1382,753,753
7080,219,219
8209,3,1
3176,999,997
5192,690,690
4847,99,97
5015,459,457
9209,561,560
6271,855,853
7112,888,886
6664,204,202
8579,915,913
7019,552,552
5216,402,400
9930,339,338
7018,153,152
1832,141,140
5220,174,173
4328,642,642
8848,210,210
4521,804,802
990,621,619
1619,354,353
2814,318,317
1864,513,511
8344,750,748
2327,879,877
484,711,709
343,360,359
3223,747,746
9487,714,713
9851,24,23
2662,330,328
8655,699,697
7291,453,451
6273,240,238
6963,288,286
9193,153,152
2255,225,223
4084,243,241
464,126,126
5139,402,400
1658,960,959
2038,690,689
5994,990,988
3903,756,754
4635,564,564
3065,330,328
8808,354,353
2710,417,416
9481,216,215
892,600,599
3744,456,455
1019,411,410
6930,732,731
7976,261,259
3293,528,527
2058,504,502
1211,405,404
9681,381,381
5712,588,587
3362,684,683
3001,600,598
4624,555,555
3137,750,750
5280,429,427
8207,993,992
1433,213,211
3573,171,169
8706,63,62
6421,681,679
1124,714,712
4603,276,276
3255,918,918
4005,48,47
262,588,586
634,3,1
1185,3,1
1342,3,1
