Item,Profit,Poids
1341,468,388
4381,468,388
7283,39,19
6710,351,171
6921,702,582
189,195,95
5122,39,19
517,195,95
8326,39,19
1490,351,171
8899,390,190
8063,39,19
5498,156,76
9500,117,57
2069,702,582
2807,1170,970
1428,156,76
7744,78,38
3601,819,679
9761,585,485
4122,390,190
6877,273,133
2467,156,76
7244,195,95
3066,1053,873
1831,234,194
985,936,776
3519,234,114
3069,195,95
4687,156,76
5739,390,190
845,195,95
3415,195,95
3786,39,19
4614,195,95
5635,234,194
3977,585,485
4343,273,133
1417,702,582
626,156,76
4999,702,582
1546,351,171
1216,273,133
8803,702,582
4828,273,133
8193,312,152
5989,195,95
5827,273,133
9604,702,582
7721,78,38
1536,312,152
3721,390,190
8768,468,388
1352,468,388
5200,273,133
2426,273,133
2617,351,171
4890,312,152
3278,78,38
3193,702,582
314,156,76
3181,39,19
6925,78,38
9164,117,57
3460,117,97
5304,39,19
1413,390,190
4295,195,95
6254,117,57
2754,78,38
2681,117,97
664,117,97
1034,1170,970
6082,273,133
8373,351,291
7,117,97
8355,234,194
7945,234,194
3853,1170,970
362,117,97
3875,195,95
8829,117,57
1730,351,291
1740,351,291
118,195,95
5432,312,152
6858,39,19
3479,234,194
9773,234,114
5308,156,76
6295,1170,970
8024,234,114
817,39,19
2446,351,171
1431,1170,970
467,156,76
8919,195,95
2279,390,190
4161,312,152
4626,1170,970
7983,273,133
7347,117,57
6186,234,114
5178,273,133
1418,1053,873
9165,117,97
431,312,152
3573,234,114
3388,78,38
1701,234,114
8561,585,485
7717,117,97
3030,234,114
6955,117,57
6620,1170,970
2853,312,152
243,585,485
3808,234,194
5643,585,485
2701,390,190
2076,39,19
2418,195,95
836,468,388
5880,39,19
2551,39,19
9210,468,388
9719,351,171
1683,312,152
3335,819,679
23,819,679
