Item,Profit,Poids
8505,711,709
6897,921,921
6762,717,717
7857,45,44
8978,423,421
8123,684,682
4239,396,394
1996,831,829
7041,804,803
5431,300,299
730,318,318
8280,642,641
1231,894,893
2041,618,618
9718,462,460
6618,48,47
1891,1002,1000
7604,93,91
5906,348,346
3263,243,241
3600,483,483
8883,627,626
6180,318,316
9456,183,181
633,417,416
9935,951,951
461,54,52
9310,555,555
8393,324,323
7568,687,685
2301,246,244
8880,57,56
2691,834,832
2421,306,304
301,348,347
4288,564,562
7894,774,774
2892,531,530
3203,228,228
8632,126,126
9252,660,658
3460,246,246
4906,597,596
2806,420,418
3523,348,346
3807,300,298
9803,360,358
3411,360,358
8242,567,565
1626,570,569
5759,858,857
6964,138,137
3703,801,799
8144,519,519
7448,240,239
8836,525,523
6500,360,360
9979,933,932
8837,567,567
7415,48,46
7721,90,89
6032,972,971
8031,366,364
7805,945,943
1183,327,327
7736,807,805
1876,234,233
6916,807,806
9037,717,715
5165,687,686
1226,942,941
9758,351,350
8232,318,318
3744,456,455
7564,204,202
4863,321,321
2649,849,847
6704,480,479
8352,93,91
7669,606,605
4156,834,832
6696,246,244
9662,666,666
841,42,41
4561,996,995
8965,903,903
8508,591,589
7823,750,749
5059,285,283
456,825,824
3317,180,178
3153,36,36
6255,552,550
2328,768,766
6853,723,721
9275,165,164
6582,990,989
3408,105,104
54,642,641
1185,3,1
212,6,5
634,3,1
736,12,10
1342,3,1
