Item,Profit,Poids
8237,936,776
3682,234,194
6096,195,95
3585,117,57
9969,39,19
8744,819,679
6595,585,485
9303,819,679
5021,312,152
6724,351,171
4020,1053,873
8183,156,76
3679,78,38
6910,351,291
3003,195,95
3142,351,291
9165,117,97
6848,312,152
6512,312,152
2995,39,19
8688,39,19
3751,234,194
46,117,97
3795,312,152
1298,1170,970
5036,819,679
6266,195,95
6836,234,114
9567,117,97
863,117,57
6965,351,291
6169,312,152
6475,273,133
1830,156,76
9518,390,190
9701,273,133
3426,39,19
920,39,19
1486,234,114
930,195,95
9511,390,190
4256,468,388
5065,312,152
2606,1170,970
9431,936,776
5857,936,776
165,117,57
3939,234,114
2191,351,171
8319,234,114
4547,39,19
6871,585,485
8966,819,679
8760,273,133
8778,234,114
1375,351,291
3339,390,190
77,819,679
765,351,291
960,468,388
3553,936,776
5358,234,114
318,156,76
8092,390,190
5032,195,95
5269,195,95
2594,702,582
3578,819,679
108,156,76
4616,78,38
5530,390,190
5431,117,57
4296,234,114
3729,273,133
3844,156,76
8549,312,152
9858,390,190
560,702,582
8721,1170,970
6867,468,388
8131,234,114
7444,234,114
8245,468,388
2483,273,133
101,702,582
3358,234,114
6414,1170,970
1361,312,152
3716,78,38
1043,273,133
178,117,57
2840,390,190
1277,585,485
1166,234,194
6748,1170,970
1645,585,485
9381,234,114
209,351,291
5875,819,679
6682,312,152
6291,819,679
4326,936,776
7927,156,76
3478,117,97
9772,195,95
2296,117,57
4419,819,679
5251,312,152
8189,156,76
5,585,485
54,117,57
