Item,Profit,Poids
5084,441,441
642,585,584
8451,69,67
8099,369,368
4498,252,252
3587,144,142
2238,834,832
8999,843,841
7017,846,845
9592,489,488
5520,723,723
5813,285,285
6789,993,993
9733,783,783
1154,213,211
6389,930,928
2064,948,946
3948,117,115
1888,339,337
6175,207,206
2091,918,917
8922,807,806
3554,465,465
2119,804,803
9616,903,902
4534,123,122
8613,750,748
4897,234,233
2996,858,858
7919,564,563
8428,102,102
4562,84,83
945,504,504
2079,390,389
9490,219,217
7649,267,265
3938,753,751
9026,546,544
9484,270,268
6043,372,371
3755,306,306
8780,996,994
2951,678,678
2727,456,456
9427,270,268
2377,249,248
5574,69,68
9199,345,343
8299,405,403
2641,357,356
1907,474,474
382,759,759
998,489,488
7205,237,237
5209,501,499
6979,519,517
6692,528,528
2559,363,363
2758,93,93
5181,117,117
3542,675,673
9789,216,215
2448,426,425
9704,207,206
2912,30,28
1851,453,451
4191,726,724
8010,138,136
704,909,907
7762,993,993
2432,588,587
6638,909,909
7534,474,474
588,330,328
127,174,172
3186,138,138
8230,999,999
1563,513,513
4730,315,313
9697,207,206
3032,216,215
8872,117,116
4826,87,86
7006,417,416
7238,75,74
6726,246,244
1908,576,575
7081,297,295
5314,105,103
9932,636,634
3291,531,530
9248,255,253
6599,675,673
6494,255,253
2914,78,76
9505,498,496
1562,807,805
5636,156,154
7611,219,218
899,786,785
2388,720,720
466,585,583
7114,714,712
7748,135,134
8825,252,251
9161,135,135
5525,594,593
5633,483,481
3733,462,460
1531,279,277
196,27,25
634,3,1
136,3,3
736,12,10
137,21,20
1185,3,1
