Item,Profit,Poids
859,776,776
1317,970,970
7564,156,198
3241,97,97
9381,104,132
1021,364,462
6616,970,970
5177,97,97
8450,260,330
6837,388,388
9373,364,462
3557,776,776
755,52,66
951,208,264
7129,970,970
7715,970,970
9280,970,970
5090,291,291
1060,468,594
5986,291,291
3302,970,970
8106,291,291
6005,679,679
8668,582,582
6311,970,970
4998,364,462
4790,970,970
5262,388,388
6799,260,330
8517,679,679
5064,416,528
486,970,970
6947,104,132
8388,520,660
2311,468,594
5554,291,291
4082,291,291
4235,364,462
2611,312,396
9153,97,97
4715,388,388
7004,582,582
2579,291,291
6847,364,462
9442,485,485
160,291,291
4629,312,396
9997,291,291
1161,388,388
6950,485,485
7312,260,330
7183,776,776
7928,260,330
9696,97,97
6336,485,485
9478,97,97
4556,416,528
3271,104,132
4165,291,291
2948,312,396
8564,312,396
5813,291,291
2385,679,679
2808,679,679
9817,388,388
6324,485,485
2217,156,198
1853,194,194
5930,970,970
8436,208,264
9379,520,660
3650,873,873
6727,291,291
7214,873,873
959,416,528
2815,52,66
3784,364,462
979,104,132
9575,485,485
6218,776,776
1305,104,132
9157,485,485
4688,388,388
3188,970,970
1505,776,776
8871,388,388
5710,776,776
2555,776,776
33,468,594
5489,52,66
5959,970,970
3103,312,396
13,291,291
53,97,97
