profit,poids,Nombre génération,Nombre population,Nombre meilleur solution sélectionnée,Probabilité crossover,Probabilité mutation,Items sélectionnés,Type population initiale
1989,969,"97,72,74,11,88,94",350,150,45,0.5,0.3,MEDIUM,8.298803091049194
1989,969,"97,33,103,74,11,76,108,45,86,89,25,96",350,150,45,0.5,0.3,LOW,8.479323387145996
1989,969,"97,2,35,74,84,85,25,91,94",350,150,45,0.5,0.3,HIGH,8.642085313796997
1989,969,"34,35,67,100,72,10,76,83,96",350,140,42,0.5,0.3,MEDIUM,8.711942195892334
1989,969,"33,68,74,12,76,79,52,89,62",350,140,42,0.5,0.3,HIGH,8.764800786972046
1989,969,"2,34,36,100,6,39,72,108,76,32",350,140,42,0.5,0.3,LOW,8.76280689239502
1989,969,"97,33,67,108,83,94,96",350,130,39,0.5,0.3,HIGH,8.974905490875244
1989,969,"11,76,97,34,35,38,39,40,43,50,61",350,130,39,0.5,0.3,MEDIUM,8.024487972259521
1989,969,"97,34,6,39,11,12,17,50,54,61,62",350,110,33,0.5,0.3,HIGH,7.818795204162598
1989,969,"34,2,6,43,12,107,17,50,84",350,120,36,0.5,0.3,HIGH,8.307531833648682
1989,969,"2,34,38,39,10,17,83,52,25,60,61,96",350,130,39,0.5,0.3,LOW,8.533176898956299
1989,969,"1,99,103,72,74,79,17,50,85,60",350,120,36,0.5,0.3,LOW,8.508002519607544
1989,969,"74,107,108,11,17,86,89,91,61",350,120,36,0.5,0.3,MEDIUM,8.549890518188477
1989,969,"65,2,68,12,85,25,96,97,99,36,52,61",350,110,33,0.5,0.3,MEDIUM,8.399682521820068
1989,969,"65,2,6,71,74,17,86,96,99,39,108,54",350,110,33,0.5,0.3,LOW,8.44262981414795
1989,969,"97,66,68,103,73,74,107,91,61,96",350,100,30,0.5,0.3,HIGH,8.726869583129883
1989,969,"97,33,99,68,103,10,43,11,83,25,61,96",350,100,30,0.5,0.3,MEDIUM,8.717149257659912
1989,969,"66,76,86,96,97,34,107,45,52,60,61",350,100,30,0.5,0.3,LOW,8.654263257980347
1989,969,"97,66,65,10,11,43,15,83,54,25,61,96",350,90,27,0.5,0.3,LOW,8.422819137573242
1989,969,"33,65,36,9,11,43,76,25,61,96",350,90,27,0.5,0.3,HIGH,8.688222408294678
1989,969,"1,68,100,91,72,39,10,108,50,60",350,90,27,0.5,0.3,MEDIUM,8.734206199645996
1989,969,"97,68,71,72,74,107,15,50,94",350,80,24,0.5,0.3,HIGH,8.700139284133911
1989,969,"33,6,72,73,10,108,79,84,54,25,61",350,80,24,0.5,0.3,MEDIUM,8.889633178710938
1989,969,"97,100,74,108,76,79,84,54,25,91",350,70,21,0.5,0.3,MEDIUM,8.867634534835815
1989,969,"2,72,10,83,85,88,103,108,50,52,54,61",350,80,24,0.5,0.3,LOW,9.048197984695435
1989,969,"68,11,79,99,100,103,40,62",350,70,21,0.5,0.3,HIGH,9.075128316879272
1989,969,"1,34,9,73,50,54,88,61,32",350,70,21,0.5,0.3,LOW,9.086099624633789
1989,969,"65,67,68,6,103,15,86,61,96",350,60,18,0.5,0.3,HIGH,9.264981031417847
1989,969,"100,71,72,108,76,85,86,60,61,96",350,60,18,0.5,0.3,MEDIUM,8.875719785690308
1989,969,"68,71,72,74,76,86,25,103,40,43,45,50",350,60,18,0.5,0.3,LOW,8.702270269393921
1989,969,"1,2,66,99,11,10,15,50,84,25",350,50,15,0.5,0.3,LOW,8.680039405822754
1989,969,"97,99,38,71,74,76,108,15,52,88,96",350,50,15,0.5,0.3,MEDIUM,8.784365177154541
1989,969,"1,2,35,36,6,71,11,50,52,61",350,50,15,0.5,0.3,HIGH,8.853266477584839
1989,969,"97,35,100,74,11,76,108,43,107,96",350,40,12,0.5,0.3,MEDIUM,8.558538913726807
1989,969,"1,2,68,10,74,76,86,97,34,99,100,62",350,40,12,0.5,0.3,HIGH,9.066528081893921
1989,969,"1,6,72,9,11,76,34,107,52",350,40,12,0.5,0.3,LOW,9.358586549758911
1989,969,"2,6,74,25,94,96,97,32,99,50,60,62",350,30,9,0.5,0.3,HIGH,9.184015989303589
1989,969,"99,2,71,12,50,52,91,61",350,30,9,0.5,0.3,MEDIUM,9.411091089248657
1989,969,"35,36,38,40,15,52,54,25",350,30,9,0.5,0.3,LOW,9.472416400909424
1989,969,"97,66,68,73,74,10,108,50,84,54,25,61",350,20,6,0.5,0.3,HIGH,9.810425281524658
1989,969,"97,38,40,11,12,76,50,84,54,25,61,96",350,20,6,0.5,0.3,MEDIUM,9.648830652236938
1989,969,"68,76,12,79,86,25,94,32,34,97,61",350,20,6,0.5,0.3,LOW,9.587148427963257
1989,969,"97,2,35,11,107,12,17,52,25,60",340,150,45,0.5,0.3,HIGH,7.520895004272461
1989,969,"66,68,74,76,15,17,97,34,99,45,52,61",340,150,45,0.5,0.3,MEDIUM,7.767234802246094
1989,969,"11,15,17,86,97,34,35,108,50,54,60",350,10,3,0.5,0.3,HIGH,9.488718509674072
1989,969,"2,6,76,83,97,99,103,43,50,54,61",340,140,42,0.5,0.3,HIGH,7.560183763504028
1989,969,"97,33,68,72,74,45,15,52,54,25,94",350,10,3,0.5,0.3,MEDIUM,9.214492321014404
1989,969,"6,103,11,12,38,108,15,89,25,60,61",340,150,45,0.5,0.3,LOW,7.857684135437012
1989,969,"1,2,68,72,76,12,17,88,97,34,38,108",350,10,3,0.5,0.3,LOW,9.43253493309021
1989,969,"100,103,76,108,79,84,88",340,140,42,0.5,0.3,MEDIUM,8.371320486068726
1989,969,"65,72,12,15,83,91,34,103,50,54",340,140,42,0.5,0.3,LOW,8.301507472991943
