profit,poids,Items selectionnes,Nombre generation,Nombre population,Nombre best,Probabilite crossover,Probabilite mutation,Type population initiale,Temps d'execution
1170,970,6935,260,135,8000,1.0,1.0,LOW,0.23636889457702637
1170,970,6935,260,135,8000,1.0,0.9,LOW,0.20943784713745117
22503,15603,"3841,9730,5251,6532,5000,1033,1021,7566,9999,1422,3090,3093,5526,7573,794,3359,3237,5286,8234,1066,3117,1838,1327,5935,6065,3639,6016,5054,6975,7743,7873,2498,7747,5574,9159,2941,1610,4940,6094,1230,209,9169,7263,3423,7777,8032,7778,8804,6762,237,8045,5999,2423,8956,9853,8702,6656",260,135,8000,1.0,1.0,MEDIUM,0.33211183547973633
44694,31174,"5132,7698,9234,9748,3096,9263,8751,6193,2100,6712,8764,9797,4166,8778,1613,2133,4184,3163,9307,6747,4715,8302,3702,4215,5760,5249,7297,7815,2700,9875,4762,155,4764,6304,4258,2727,6831,7858,6331,4286,4301,205,2769,2258,4821,1245,6877,9955,1254,8939,1772,7921,9466,2306,9479,1291,779,1811,9492,6935,8471,7462,4907,812,9517,8494,302,1840,5937,4921,314,826,6460,9019,7999,1858,9540,8008,335,2913,870,7015,8557,1901,1391,6519,378,1915,9596,8063,3466,2443,8077,5008,2966,9628,1950,9121,9633,3495,2478,7090,4025,9657,7101,6591,8127,466,5080,473,8665,7131,7136,8169,5609,2028,8176,5105,7154,512",260,135,8000,1.0,1.0,HIGH,0.37100720405578613
44070,31230,"523,4113,1042,19,7702,1050,5147,6176,32,3619,1064,554,7723,6188,6702,8758,6710,9274,5187,580,4677,3150,8782,8275,5724,1631,4194,3683,1125,5229,5240,9348,644,6789,2180,9353,9354,658,147,1687,1185,2724,7853,1709,7859,7347,9397,7871,7878,7881,715,721,6365,739,4326,9958,744,8425,2297,1788,3326,7426,2823,4362,8981,6936,4378,8475,800,1826,2853,5415,2362,326,6472,2385,4947,9557,342,5464,7000,3931,5990,876,3437,8045,2924,5497,2942,2433,2437,1415,2953,3980,8588,7579,414,5536,418,5546,6576,8115,442,9149,7615,8644,456,4556,9166,9168,7637,9692,9699,2534,3060,6136,6653",260,135,8000,1.0,0.9,HIGH,0.3590395450592041
22269,15529,"1796,133,134,3718,5764,3209,7185,6932,9881,7323,5278,7200,4768,3493,6441,2347,3501,3118,4784,9147,571,7486,1216,1601,2115,1219,1607,8136,3785,1991,5065,9932,3274,7758,7374,465,2259,3414,4951,2906,4573,2912,6241,6496,8163,747,2541,4464,3569,1911,6008,1529,4602,6143",260,135,8000,1.0,0.9,MEDIUM,0.34607434272766113
43953,31173,"6659,3076,4622,4623,6689,4643,8739,2043,4657,1586,6706,5692,9277,61,7228,8256,7236,9799,584,4169,6218,1105,9298,3579,9815,5727,1637,5734,9319,3692,8302,9330,639,6784,1666,133,1160,6795,1165,5780,9364,7839,9380,181,1720,9915,4286,2754,713,6346,6351,1238,8922,1759,9955,739,5350,1767,9963,6901,5883,786,6421,5915,3868,6432,6947,5414,3370,9515,9019,7487,6473,7498,5963,2378,7502,4433,1363,3933,5989,8553,4973,7027,6004,8053,6530,2951,3979,9109,6039,2968,3997,2979,3492,7078,1453,4015,3510,9662,7102,9673,977,9682,1492,4570,2012,4575,5602,1510,6634,4591,9200,4083,6134,2551,8183,4090,5627,3580,6141,1022",260,135,8000,1.0,0.8,HIGH,0.3899571895599365
1170,970,2031,260,135,8000,1.0,0.8,LOW,0.2483363151550293
22815,15555,"3077,3333,8839,3081,138,5260,6030,5651,5528,8600,7198,3231,4000,934,6567,4009,4906,554,6572,5676,9518,3625,9137,5937,6834,3124,2741,9782,2612,2871,313,1210,6843,6837,5312,1349,3141,5191,8264,7243,7501,7377,8020,4693,1239,9816,7897,9561,9434,6876,1630,6495,7263,5219,3940,4455,1773,750,7407,496,6897,4336,2803,6773,7158,3191,5368",260,135,8000,1.0,0.8,MEDIUM,0.3839728832244873
1170,970,9037,260,135,8000,1.0,0.7,LOW,0.24933290481567383
