Item,Profit,Poids
3517,873,873
5414,260,330
5814,582,582
8496,364,462
3758,194,194
5014,156,198
61,485,485
595,194,194
3939,582,582
8310,194,194
6581,312,396
301,388,388
6058,97,97
1425,260,330
4109,364,462
2983,260,330
7017,156,198
1558,260,330
2643,260,330
3063,52,66
6347,776,776
1200,156,198
4488,52,66
2911,291,291
6745,416,528
4994,52,66
4733,291,291
2498,416,528
9960,776,776
4644,291,291
2215,776,776
8064,679,679
6090,679,679
8468,388,388
3104,52,66
3422,156,198
865,208,264
7208,416,528
3745,485,485
2600,776,776
4816,260,330
7696,97,97
8485,291,291
2487,291,291
9136,970,970
7585,52,66
5042,388,388
8431,776,776
8420,52,66
6198,776,776
2227,208,264
8506,364,462
3563,208,264
530,873,873
264,291,291
3861,260,330
3584,679,679
7550,582,582
7759,388,388
38,520,660
8138,364,462
6901,485,485
3736,520,660
2561,776,776
3623,388,388
4213,156,198
4664,260,330
1442,260,330
9949,208,264
7116,194,194
8357,582,582
5995,364,462
3098,388,388
5887,873,873
4249,52,66
4785,416,528
8548,156,198
7992,52,66
8514,208,264
2660,388,388
588,468,594
9657,970,970
571,582,582
8333,291,291
6936,104,132
2324,104,132
7401,970,970
9761,156,198
4302,260,330
5634,468,594
5995,364,462
607,104,132
5685,970,970
5112,97,97
714,776,776
461,291,291
5598,468,594
3145,679,679
6641,156,198
8039,468,594
8625,485,485
8132,52,66
6670,364,462
4710,776,776
6142,312,396
6960,104,132
2711,679,679
14,104,132
