Item,Profit,Poids
9398,485,485
4391,970,970
9045,194,194
2367,679,679
9369,364,462
1248,416,528
5065,97,97
4454,970,970
1315,582,582
1921,468,594
1605,388,388
9783,468,594
8614,582,582
3906,260,330
5474,312,396
8192,260,330
6767,873,873
401,388,388
3655,104,132
2067,208,264
9413,582,582
6556,679,679
6571,468,594
8029,52,66
1508,156,198
5038,260,330
9186,485,485
9188,873,873
3709,208,264
6102,970,970
9317,104,132
657,582,582
6176,260,330
8136,416,528
5125,970,970
2568,291,291
8659,582,582
3379,208,264
4689,364,462
2573,468,594
9661,520,660
2796,364,462
8969,156,198
6081,194,194
2885,260,330
783,520,660
2497,194,194
188,388,388
9344,520,660
9601,312,396
9695,582,582
8434,97,97
8782,873,873
8425,416,528
2712,416,528
1477,468,594
5312,416,528
8880,208,264
1908,582,582
2204,679,679
231,97,97
4789,364,462
8713,776,776
6418,873,873
4583,388,388
3719,194,194
8607,364,462
5580,312,396
2160,873,873
8252,104,132
3671,194,194
5222,156,198
9498,291,291
7275,873,873
5500,388,388
2100,104,132
6636,208,264
9512,468,594
5320,291,291
182,679,679
8962,208,264
7880,485,485
2903,291,291
5103,520,660
820,156,198
8000,104,132
7297,156,198
468,582,582
67,364,462
554,873,873
4288,416,528
1448,582,582
6654,364,462
7072,776,776
122,776,776
7886,104,132
7224,52,66
53,97,97
