Item,Profit,Poids
6070,104,132
6199,679,679
7922,468,594
7732,156,198
806,156,198
1826,776,776
6390,776,776
6358,388,388
530,873,873
9909,291,291
9564,194,194
1331,388,388
340,208,264
1988,208,264
5852,312,396
2983,260,330
4916,291,291
1716,520,660
8483,970,970
7381,260,330
1357,194,194
7240,679,679
6165,156,198
4300,416,528
7001,156,198
6734,364,462
1634,416,528
9723,156,198
6793,208,264
2480,776,776
9275,520,660
5325,291,291
7836,776,776
6560,97,97
9993,208,264
8118,468,594
159,194,194
3430,520,660
7136,485,485
1766,679,679
4751,970,970
5654,416,528
8516,388,388
1613,208,264
8855,416,528
6227,291,291
2014,873,873
9885,104,132
2166,208,264
7960,485,485
7518,52,66
8586,873,873
3359,970,970
9372,260,330
4013,388,388
4517,416,528
7070,104,132
6184,52,66
4050,291,291
9850,520,660
9752,312,396
8465,291,291
2444,416,528
307,194,194
5064,416,528
4289,416,528
4688,388,388
4451,364,462
3679,291,291
9376,679,679
5358,416,528
505,873,873
7282,388,388
9486,291,291
7673,970,970
8954,485,485
3266,260,330
110,970,970
3117,873,873
9527,468,594
2137,679,679
9927,679,679
6823,260,330
7723,776,776
5080,970,970
981,873,873
1303,291,291
2313,582,582
9462,776,776
4709,582,582
7153,679,679
3618,97,97
7895,97,97
13,291,291
53,97,97
