Item,Profit,Poids
6257,679,679
9503,468,594
8177,970,970
2467,970,970
7547,520,660
4650,485,485
7293,364,462
5241,970,970
4351,970,970
3142,97,97
7959,312,396
1884,582,582
6739,485,485
9818,485,485
8934,776,776
5033,364,462
7392,485,485
5784,104,132
6634,97,97
8937,208,264
7767,582,582
7558,776,776
3790,97,97
5148,97,97
2558,582,582
1089,364,462
153,208,264
8469,388,388
8641,104,132
3391,582,582
4353,388,388
9208,312,396
7380,156,198
1052,970,970
3306,364,462
8649,776,776
9740,260,330
5428,970,970
9804,873,873
4027,468,594
9833,312,396
6870,291,291
4296,468,594
6363,388,388
9416,52,66
2306,52,66
7868,485,485
5579,194,194
3400,97,97
8770,388,388
7139,468,594
8254,582,582
7940,468,594
2136,97,97
90,52,66
3964,260,330
7498,156,198
2382,194,194
6754,291,291
7913,97,97
3859,97,97
676,97,97
4401,104,132
5200,873,873
3343,260,330
6866,312,396
278,776,776
7003,194,194
4776,582,582
6671,291,291
8306,104,132
4863,485,485
2338,52,66
2858,97,97
4463,388,388
6793,208,264
9677,291,291
6300,582,582
5050,291,291
621,312,396
8580,468,594
8813,485,485
9687,873,873
7077,97,97
9944,520,660
1381,776,776
7566,104,132
9619,970,970
9850,520,660
9455,485,485
9808,52,66
6432,156,198
8681,873,873
2395,582,582
7435,468,594
8497,388,388
7074,97,97
3459,97,97
8978,312,396
600,873,873
5110,52,66
3940,156,198
7824,873,873
2,194,194
53,97,97
75,97,97
