Item,Profit,Poids
2555,776,776
9211,52,66
6075,291,291
80,520,660
6225,260,330
6751,291,291
9176,260,330
4952,208,264
5073,776,776
9710,416,528
3803,260,330
861,582,582
3823,208,264
1648,416,528
9276,364,462
6564,208,264
2626,291,291
1318,468,594
7590,416,528
5164,104,132
6748,776,776
5337,776,776
4119,582,582
9092,468,594
7353,416,528
1455,156,198
2634,468,594
7900,873,873
6113,520,660
4415,388,388
6402,156,198
5938,970,970
732,364,462
1656,970,970
5250,156,198
7093,104,132
2875,291,291
4073,364,462
7492,291,291
1219,388,388
3937,776,776
7260,520,660
9347,485,485
1597,582,582
6766,291,291
2129,97,97
8405,485,485
1169,485,485
5808,260,330
3233,520,660
6227,291,291
5067,194,194
3445,194,194
6755,194,194
6096,104,132
1663,776,776
7849,312,396
7490,208,264
166,520,660
3613,485,485
8715,468,594
5791,312,396
8108,679,679
3611,520,660
8825,194,194
5068,485,485
1836,416,528
8823,104,132
3628,156,198
1105,873,873
3699,873,873
1505,776,776
9468,468,594
2803,776,776
2818,416,528
7035,291,291
7498,156,198
8112,582,582
9427,208,264
9560,520,660
4043,679,679
5538,104,132
7306,156,198
9115,312,396
94,873,873
9565,97,97
5734,104,132
2264,970,970
2680,291,291
7172,97,97
5594,776,776
1462,260,330
3082,312,396
9208,312,396
8800,485,485
7571,312,396
3780,208,264
722,873,873
