Item,Profit,Poids
9628,1053,873
7207,78,38
2849,234,114
207,156,76
1288,1053,873
3554,1170,970
6005,312,152
4538,39,19
3389,39,19
725,234,194
5409,273,133
2516,585,485
9367,195,95
5497,39,19
69,1053,873
1994,351,291
3580,117,57
3427,468,388
4126,39,19
8054,273,133
8072,585,485
5135,273,133
52,234,114
2376,1053,873
7053,234,114
8387,312,152
865,1053,873
7814,117,57
7156,156,76
2420,234,114
6218,195,95
7006,234,114
2193,195,95
5606,1170,970
6967,351,291
1701,234,114
6250,117,57
2387,195,95
7865,156,76
8709,936,776
5879,1170,970
8646,1170,970
644,468,388
8037,351,171
509,78,38
372,117,97
7122,1053,873
8663,156,76
5604,39,19
8038,273,133
957,234,194
9765,312,152
9089,702,582
4805,390,190
1940,351,291
4086,312,152
3683,351,291
5982,117,97
7016,117,97
4679,78,38
9309,351,171
8059,390,190
28,234,194
3943,585,485
2205,351,171
5854,585,485
3660,585,485
6591,117,57
6504,39,19
3400,936,776
6925,78,38
6914,351,171
6401,819,679
2714,351,291
3107,273,133
6361,234,114
7451,312,152
5287,39,19
6713,1170,970
983,351,171
2033,234,114
5684,585,485
6164,195,95
6723,156,76
138,117,97
4118,1170,970
9403,312,152
3652,936,776
2594,702,582
4170,117,57
4822,78,38
550,351,171
2778,234,114
1521,273,133
4443,156,76
8884,351,291
356,1170,970
6215,234,114
4817,234,194
4908,390,190
5488,117,97
6983,702,582
6904,468,388
3612,468,388
5780,234,194
8847,117,97
948,312,152
3897,351,171
36,390,190
40,390,190
