Item,Profit,Poids
162,117,57
4719,273,133
5538,117,97
8957,234,194
3803,1170,970
8978,702,582
9621,819,679
3666,702,582
4875,195,95
9065,234,114
5179,468,388
9499,273,133
3038,156,76
6563,351,291
2366,1170,970
9006,39,19
1068,273,133
5523,390,190
162,117,57
3631,117,57
8441,351,171
6162,819,679
1910,234,194
9534,78,38
1983,117,57
926,819,679
7588,234,114
8509,390,190
4698,39,19
1324,585,485
4498,156,76
8942,468,388
1652,1053,873
2298,234,114
9941,351,291
1130,234,194
9917,156,76
1303,312,152
8565,234,114
9965,156,76
9947,390,190
9959,39,19
8554,195,95
3912,234,114
5575,195,95
4267,1170,970
6820,234,194
7235,78,38
2037,351,291
6362,351,291
4046,117,57
4299,468,388
2474,117,57
9682,78,38
6054,936,776
6780,1053,873
2073,819,679
9311,156,76
8178,819,679
4656,585,485
1704,234,194
7039,1053,873
809,117,57
1874,1170,970
3320,78,38
2861,351,291
6813,351,291
3509,39,19
4590,936,776
3806,117,57
6217,195,95
4420,273,133
5040,156,76
3306,1053,873
8680,702,582
845,195,95
5442,195,95
1840,351,171
8822,78,38
2962,195,95
2766,468,388
1421,468,388
744,117,97
4547,39,19
9976,117,97
43,234,114
4141,351,171
5702,195,95
3356,468,388
8149,351,291
2363,351,171
80,585,485
261,351,171
1529,195,95
5685,156,76
3045,156,76
5331,39,19
8586,117,97
3840,702,582
5129,312,152
7506,39,19
8138,273,133
120,1053,873
6006,1053,873
6370,585,485
9786,234,114
8551,585,485
7190,1053,873
4301,234,194
36,390,190
