Item,Profit,Poids
514,39,19
7336,117,57
3543,351,171
2296,117,57
5732,351,171
2598,234,114
8444,390,190
6469,702,582
4285,234,114
8954,156,76
3486,1053,873
4463,117,57
422,468,388
9735,1170,970
407,819,679
7043,39,19
4702,702,582
7610,78,38
4322,1170,970
2726,273,133
8281,585,485
3973,702,582
2798,702,582
9815,117,57
1452,819,679
1319,78,38
7786,78,38
8613,585,485
1416,312,152
3401,819,679
3672,39,19
3170,234,194
2213,936,776
9043,936,776
3118,819,679
9737,312,152
5595,351,291
949,936,776
1625,234,194
3195,1053,873
1684,819,679
3552,234,114
8942,468,388
727,195,95
7533,585,485
8514,39,19
1337,117,97
1075,234,194
9169,351,171
3624,117,57
2303,819,679
6903,78,38
9568,351,291
3856,936,776
5529,351,291
423,1170,970
5853,156,76
9197,156,76
1651,312,152
2563,351,171
2103,819,679
1670,819,679
4642,117,97
2193,195,95
8186,273,133
4772,234,114
7066,195,95
5153,39,19
1892,39,19
5625,468,388
2712,117,97
119,702,582
8829,117,57
9401,39,19
4230,156,76
3293,702,582
4330,936,776
436,117,57
9461,1053,873
3541,585,485
3292,273,133
4579,117,97
1631,78,38
8978,702,582
7741,1170,970
4679,78,38
928,1170,970
6876,468,388
4097,156,76
1288,1053,873
9860,117,57
6659,156,76
556,234,194
4214,312,152
10,156,76
