Item,Profit,Poids
9839,234,114
1173,117,97
8358,117,97
4205,390,190
3038,156,76
2565,468,388
4418,702,582
9777,1170,970
3698,1053,873
2575,312,152
7134,468,388
9885,234,194
771,1053,873
6889,117,57
4758,390,190
6903,78,38
233,390,190
6420,39,19
7312,1170,970
5619,819,679
1084,234,194
1063,1053,873
2108,351,291
6015,936,776
7542,312,152
5203,117,57
7223,117,97
8436,351,291
7606,702,582
4164,1053,873
714,351,291
3697,234,114
4354,585,485
4743,819,679
2047,351,171
2984,156,76
4551,195,95
206,585,485
6694,39,19
259,234,114
5283,312,152
3241,390,190
9203,390,190
9945,390,190
608,156,76
5819,195,95
6472,273,133
310,1053,873
7875,156,76
683,156,76
659,351,291
8097,234,114
8674,195,95
282,117,97
877,312,152
4436,468,388
2184,351,171
1997,312,152
6400,936,776
9914,390,190
7736,468,388
9699,117,57
7946,312,152
9021,234,114
556,234,194
1241,390,190
4103,78,38
7161,819,679
8400,117,57
8695,351,171
2686,234,114
8331,156,76
2801,351,171
4328,1053,873
7006,234,114
2360,273,133
5374,234,114
7722,1053,873
7369,702,582
9892,195,95
3408,117,97
4077,585,485
413,468,388
7930,351,291
545,351,171
2291,234,194
8578,273,133
2710,468,388
5514,1053,873
989,117,97
1918,468,388
3002,351,171
7024,78,38
7913,1053,873
9296,117,57
3731,273,133
868,351,171
2125,117,57
1525,312,152
9543,1053,873
9282,1170,970
23,819,679
6,78,38
