Item,Profit,Poids
4014,351,291
5309,78,38
4138,390,190
8912,39,19
9380,234,114
4685,117,57
6247,351,291
6943,468,388
1934,702,582
6335,195,95
9970,351,171
9468,585,485
3572,117,57
4802,390,190
7545,1170,970
5364,468,388
5151,468,388
8326,39,19
7006,234,114
4340,234,114
2806,117,97
9954,195,95
4480,195,95
6230,936,776
3657,819,679
6439,819,679
426,117,97
6767,1053,873
875,1053,873
4450,195,95
6036,78,38
1900,234,114
8063,39,19
4271,390,190
9317,390,190
1503,117,57
9868,195,95
9414,351,171
7889,39,19
6261,819,679
6993,585,485
3502,117,57
5347,78,38
1781,234,114
9840,312,152
3454,351,171
5180,1170,970
7848,273,133
284,312,152
2693,351,291
4378,585,485
7904,819,679
7757,117,97
9410,936,776
4030,78,38
7300,312,152
6972,390,190
4655,351,171
374,273,133
5670,702,582
4778,195,95
6877,273,133
7471,468,388
4177,78,38
831,1053,873
9089,702,582
3225,1170,970
9665,390,190
3112,156,76
1493,585,485
2040,819,679
9012,1053,873
8735,702,582
3779,585,485
3098,234,114
7738,1053,873
1968,156,76
3492,273,133
3960,1170,970
3259,195,95
3429,351,291
4931,195,95
1859,234,114
2477,78,38
2820,117,57
1055,351,291
3881,273,133
356,1170,970
5622,1053,873
9788,39,19
1302,234,194
8249,234,114
8192,351,171
9233,195,95
2053,390,190
9155,390,190
2241,117,57
9430,702,582
2260,273,133
1068,273,133
3724,273,133
5449,156,76
8897,234,194
5977,156,76
103,156,76
3148,273,133
36,390,190
12,273,133
