Item,Profit,Poids
1028,117,97
5355,117,57
7426,273,133
7920,351,291
1883,1053,873
1067,1170,970
2708,468,388
3943,585,485
4949,78,38
3497,351,171
494,78,38
999,156,76
3319,351,171
523,234,194
9083,390,190
4725,78,38
8399,351,171
1398,351,291
5740,78,38
7908,195,95
2553,195,95
6700,936,776
9708,1170,970
6697,468,388
6414,1170,970
4626,1170,970
7075,117,97
4342,1170,970
7408,585,485
3809,819,679
8469,1053,873
9186,273,133
6958,1170,970
8423,936,776
2918,468,388
1370,1170,970
4664,468,388
532,312,152
7972,234,194
9117,156,76
9689,117,97
9299,195,95
5157,195,95
9658,351,291
8758,234,194
3650,819,679
3598,351,171
6589,39,19
5791,390,190
6420,39,19
9233,195,95
7531,234,194
8283,1053,873
5929,390,190
1385,117,57
4976,195,95
4321,390,190
4566,702,582
712,390,190
3583,117,97
1008,195,95
7181,117,97
6443,234,194
9291,78,38
9621,819,679
3537,390,190
2090,156,76
2072,1170,970
7586,702,582
3368,702,582
9991,351,291
7903,468,388
410,936,776
6770,234,194
7682,312,152
9630,1170,970
2320,117,57
7667,273,133
4682,273,133
2367,351,171
709,819,679
6959,234,114
2036,351,171
8824,468,388
4984,39,19
112,117,57
1953,117,57
5285,468,388
9703,1170,970
847,117,57
4740,195,95
5684,585,485
8548,117,97
36,390,190
9,312,152
