Item,Profit,Poids
1086,117,57
3658,351,291
8456,273,133
2380,702,582
5073,585,485
1316,1053,873
6552,78,38
6443,234,194
7346,819,679
7649,156,76
2778,234,114
1813,390,190
2675,312,152
8001,1170,970
2722,117,97
5526,195,95
1886,117,57
8920,273,133
2052,468,388
9153,117,97
9475,117,97
4281,585,485
6766,78,38
8525,351,171
5220,390,190
6844,273,133
4697,234,194
4831,351,291
1286,1170,970
9010,117,97
224,234,194
842,1170,970
9402,195,95
3947,234,194
121,39,19
5412,234,114
7685,195,95
9465,78,38
7940,117,57
1287,1170,970
9124,702,582
7901,1053,873
2587,468,388
1284,117,97
6405,351,171
9283,585,485
1683,312,152
5504,585,485
5604,39,19
5380,390,190
5328,273,133
796,312,152
3761,936,776
4548,195,95
6300,234,114
9683,156,76
5371,117,57
2975,117,97
7195,351,171
8151,351,171
2479,585,485
8214,234,194
5217,156,76
1887,195,95
9083,390,190
4349,273,133
5065,312,152
8839,117,57
2651,1170,970
5336,273,133
7750,273,133
8413,234,114
7013,702,582
3889,195,95
2993,819,679
1928,117,57
6601,273,133
8806,1170,970
695,351,171
7259,702,582
6137,1053,873
1881,351,171
5474,1170,970
3222,702,582
9118,234,194
225,390,190
7366,156,76
5032,195,95
5744,195,95
1346,390,190
230,702,582
3454,351,171
86,273,133
3802,117,57
2765,117,97
8544,468,388
5687,273,133
4493,78,38
750,351,291
1389,39,19
7687,117,57
4087,702,582
7751,585,485
4905,117,97
4022,117,57
7152,819,679
6128,390,190
34,156,76
6120,117,57
9333,312,152
3137,117,97
1995,1053,873
10,156,76
