Item,Profit,Poids
3033,117,97
1809,234,114
5318,390,190
2834,1053,873
5524,702,582
1365,195,95
9622,273,133
992,39,19
6961,234,194
5675,117,97
5320,273,133
3494,234,114
8368,1170,970
6665,234,194
740,1170,970
602,585,485
7387,936,776
3992,351,291
3824,702,582
5825,351,171
4090,39,19
7281,273,133
590,78,38
277,312,152
9509,702,582
5807,273,133
6876,468,388
2105,351,291
842,1170,970
7618,819,679
2514,312,152
2013,819,679
9342,1053,873
9148,156,76
9645,273,133
3731,273,133
2609,819,679
8820,351,291
6055,585,485
2071,117,57
9739,117,57
9370,234,114
3368,702,582
1913,195,95
7219,117,57
7709,390,190
1478,234,194
3124,117,97
1496,195,95
5370,156,76
6803,468,388
4575,195,95
2093,39,19
1074,234,114
1987,390,190
4804,390,190
6169,312,152
4403,39,19
9610,39,19
5541,585,485
4192,156,76
6959,234,114
5339,390,190
5463,351,291
9880,312,152
4555,351,291
2295,468,388
2345,351,291
1333,351,291
8267,156,76
7367,234,194
5087,936,776
1303,312,152
4822,78,38
2442,273,133
4272,351,171
3184,1170,970
7561,1170,970
8184,1053,873
8449,1170,970
918,234,114
9882,234,194
7988,390,190
7655,117,97
2290,702,582
1174,390,190
8,234,194
1869,585,485
1921,1170,970
6508,936,776
4772,234,114
2932,234,114
1416,312,152
6039,351,171
4406,117,97
2144,117,97
5389,468,388
6219,273,133
6928,1170,970
5233,351,291
4814,351,171
10,156,76
