Item,Profit,Poids
437,585,485
5051,117,97
9242,195,95
8837,117,97
5418,273,133
9578,312,152
3354,39,19
7590,234,114
1156,195,95
8045,1170,970
3672,39,19
3874,468,388
7427,156,76
1472,234,194
8268,195,95
2134,1170,970
7700,1053,873
3877,702,582
9278,312,152
9438,819,679
1584,312,152
9122,117,57
9206,702,582
8558,117,97
3303,819,679
6588,234,194
589,312,152
9643,585,485
3163,117,97
1254,78,38
8383,273,133
239,117,57
4104,234,114
5667,1053,873
1212,78,38
3741,936,776
7995,351,291
1926,702,582
8913,78,38
946,1053,873
2146,702,582
7119,234,194
1253,234,114
4332,1170,970
8918,351,171
3465,117,97
2985,585,485
7887,312,152
4629,78,38
7641,351,291
6083,117,97
3623,390,190
4783,585,485
4831,351,291
4591,273,133
4382,936,776
3397,117,57
2980,351,171
8450,936,776
1308,390,190
2276,195,95
8836,936,776
6950,273,133
420,195,95
2140,312,152
4409,585,485
9475,117,97
2409,585,485
2659,390,190
9337,234,114
8282,312,152
9787,1170,970
5492,117,97
4476,234,194
176,351,171
1639,936,776
5255,78,38
2087,39,19
7026,273,133
745,351,171
8438,117,97
1241,390,190
5857,936,776
6163,195,95
4816,234,114
865,1053,873
9896,195,95
806,936,776
1879,234,194
7066,195,95
5096,1053,873
1582,585,485
4578,468,388
1972,468,388
6532,312,152
3663,351,171
991,936,776
8017,234,194
36,390,190
1,234,114
