Item,Profit,Poids
4462,156,76
4270,585,485
3333,1170,970
9193,234,194
9166,585,485
8463,39,19
8648,78,38
5041,195,95
2749,702,582
4530,1170,970
8593,78,38
2978,390,190
5004,39,19
6194,195,95
1399,702,582
7630,78,38
2870,1053,873
7572,1170,970
553,468,388
5656,819,679
3331,117,57
5143,234,114
6234,117,97
8441,351,171
3361,312,152
2138,117,57
4842,702,582
4680,78,38
8038,273,133
2525,390,190
7978,819,679
5643,585,485
6289,195,95
8118,390,190
5785,936,776
1240,273,133
9891,117,97
8625,351,291
8003,312,152
8053,156,76
5155,312,152
435,156,76
7227,234,114
6596,156,76
5570,936,776
1266,702,582
12,273,133
1547,819,679
6121,351,291
2436,468,388
6373,273,133
6062,702,582
7621,117,57
2940,312,152
937,195,95
5213,39,19
2469,351,291
4616,78,38
533,1170,970
8998,117,57
6371,351,291
9584,819,679
5995,351,291
5096,1053,873
8597,819,679
5494,702,582
7532,273,133
5975,312,152
3886,936,776
9314,234,114
1323,936,776
2981,117,57
464,234,114
8173,117,57
9524,234,114
6653,117,57
377,702,582
2969,351,291
4201,234,114
8007,78,38
5840,351,171
4375,273,133
9687,117,97
8024,234,114
2961,39,19
8182,156,76
5126,39,19
7908,195,95
3874,468,388
8726,585,485
8837,117,97
8462,39,19
7834,1053,873
4838,702,582
1138,156,76
1042,78,38
4634,1053,873
5272,351,171
5221,1053,873
4329,351,291
3955,117,97
1312,117,57
5899,351,171
9705,195,95
8402,312,152
16,468,388
