Item,Profit,Poids
215,273,133
7021,1053,873
2496,936,776
1573,351,291
2725,234,114
4179,936,776
4892,156,76
4521,312,152
3736,117,57
5167,312,152
8163,351,291
6130,1053,873
6629,195,95
2681,117,97
7210,195,95
2192,585,485
7921,195,95
1992,312,152
2283,819,679
4593,351,171
7418,351,291
8984,234,114
1872,117,57
9844,351,171
6249,702,582
5801,351,291
5555,819,679
9011,468,388
1859,234,114
2319,936,776
649,702,582
6481,351,171
9365,1170,970
5400,156,76
7411,1053,873
6834,195,95
4093,156,76
5667,1053,873
5953,1053,873
8793,273,133
4775,351,171
1267,468,388
1129,273,133
8138,273,133
6255,39,19
990,195,95
1424,117,57
7434,819,679
271,273,133
863,117,57
3951,390,190
26,1170,970
6859,1170,970
9281,117,97
4256,468,388
4157,351,171
3106,39,19
1337,117,97
9884,312,152
7709,390,190
3283,351,171
6152,312,152
2073,819,679
6662,312,152
4849,117,97
3634,351,171
5144,39,19
8538,117,57
6674,78,38
4015,234,194
1877,1170,970
7011,351,291
639,234,114
6540,156,76
7770,234,194
6621,468,388
6530,156,76
138,117,97
2697,273,133
7853,585,485
2173,351,171
5270,351,171
7262,39,19
7223,117,97
9356,78,38
2000,312,152
3040,1170,970
3791,117,57
7794,936,776
3320,78,38
8085,351,291
3500,819,679
5530,390,190
3185,117,57
2967,234,194
6334,195,95
1576,468,388
1281,312,152
8392,351,171
4659,195,95
5179,468,388
647,117,57
5358,234,114
7404,39,19
3013,390,190
5708,585,485
6516,1053,873
2,39,19
