Item,Profit,Poids
7288,117,57
5664,156,76
9417,156,76
6514,234,194
273,78,38
9882,234,194
7123,312,152
386,1053,873
7331,312,152
7782,39,19
2309,390,190
3432,468,388
8163,351,291
4825,156,76
8704,936,776
3978,234,114
3987,312,152
8722,585,485
1338,234,194
4824,702,582
6971,351,291
2104,819,679
5613,585,485
579,156,76
4008,1053,873
4135,468,388
4320,351,291
4062,312,152
4348,195,95
2828,819,679
3287,390,190
8000,234,114
3265,351,291
3058,1170,970
8192,351,171
2765,117,97
2145,273,133
2069,702,582
7457,702,582
2098,234,194
4496,585,485
7544,468,388
7861,351,171
7290,936,776
3652,936,776
4841,702,582
6705,78,38
1272,936,776
5530,390,190
8493,351,171
6657,351,171
1964,78,38
378,468,388
4373,468,388
9642,936,776
237,1170,970
9400,195,95
1219,156,76
7164,39,19
4292,234,114
405,351,291
6393,351,291
9182,156,76
1708,78,38
1150,1170,970
3146,585,485
632,156,76
801,39,19
1515,117,57
997,390,190
9411,702,582
953,351,171
5731,936,776
6907,39,19
739,156,76
6515,819,679
7283,39,19
3329,39,19
1634,468,388
1844,312,152
5752,351,291
6575,1170,970
6131,936,776
7083,1053,873
3416,78,38
1894,117,57
6369,39,19
4184,234,194
8062,819,679
2801,351,171
244,702,582
9690,351,291
2947,468,388
2063,819,679
6,78,38
