Item,Profit,Poids
4227,78,38
5755,39,19
5197,1170,970
2333,195,95
3695,1170,970
461,117,57
2198,195,95
4696,351,171
8971,1053,873
4684,819,679
7672,351,291
66,390,190
9692,234,194
3476,39,19
6630,273,133
9061,351,171
20,1053,873
5395,156,76
5637,273,133
1279,273,133
8597,819,679
9719,351,171
4423,351,171
4857,117,97
8384,468,388
6544,936,776
6060,117,57
9156,468,388
1158,351,291
5474,1170,970
3308,117,57
9002,234,194
2305,819,679
2797,468,388
9258,117,97
7362,702,582
8126,312,152
8688,39,19
995,156,76
6319,1170,970
958,702,582
9978,1170,970
7249,195,95
9532,117,97
2211,312,152
8171,936,776
7809,351,171
2808,312,152
5189,234,194
8780,585,485
4006,585,485
6176,312,152
9419,39,19
2976,195,95
45,195,95
5539,936,776
372,117,97
6904,468,388
371,312,152
5547,117,97
4669,39,19
9294,117,97
2816,234,194
5738,234,114
6519,234,114
3601,819,679
7641,351,291
778,390,190
2937,39,19
5154,234,194
4330,936,776
1466,39,19
7888,78,38
6417,234,194
9786,234,114
710,1053,873
5872,1170,970
4695,78,38
2887,312,152
7184,117,97
4840,117,57
603,936,776
9251,39,19
9187,585,485
6781,468,388
4697,234,194
9052,156,76
4746,468,388
5990,234,114
4287,351,171
3059,351,291
7460,1170,970
2442,273,133
4550,585,485
7225,78,38
6575,1170,970
1773,351,291
286,351,171
8379,234,194
16,468,388
6,78,38
